,Calendar
36,Ne 16.5.   Zavřeno     Po 17.5.   Žádná data     Út 18.5.   Žádná data     St 19.5.   Žádná data     Čt 20.5.   Žádná data     Pá 21.5.   Žádná data     So 22.5.   Zavřeno
37,Ne 16.5.   Zavřeno     Po 17.5.   Volná kapacita 204 z 220     Út 18.5.   Volná kapacita 215 z 220     St 19.5.   Volná kapacita 217 z 220     Čt 20.5.   Volná kapacita 216 z 220     Pá 21.5.   Volná kapacita 189 z 190     So 22.5.   Volná kapacita 108 z 110
38,Ne 16.5.   Volná kapacita 78 z 80     Po 17.5.   Volná kapacita 215 z 220     Út 18.5.   Volná kapacita 220 z 220     St 19.5.   Volná kapacita 220 z 220     Čt 20.5.   Volná kapacita 220 z 220     Pá 21.5.   Volná kapacita 200 z 200     So 22.5.   Volná kapacita 80 z 80
39,Ne 16.5.   Volná kapacita 314 z 320     Po 17.5.   Volná kapacita 430 z 440     Út 18.5.   Volná kapacita 457 z 460     St 19.5.   Volná kapacita 457 z 460     Čt 20.5.   Volná kapacita 456 z 460     Pá 21.5.   Volná kapacita 379 z 380     So 22.5.   Volná kapacita 199 z 200
40,Ne 16.5.   Volná kapacita 168 z 180     Po 17.5.   Volná kapacita 232 z 240     Út 18.5.   Volná kapacita 237 z 240     St 19.5.   Volná kapacita 237 z 240     Čt 20.5.   Volná kapacita 234 z 240     Pá 21.5.   Volná kapacita 240 z 240     So 22.5.   Volná kapacita 160 z 160
41,Ne 16.5.   Zavřeno     Po 17.5.   Žádná data     Út 18.5.   Žádná data     St 19.5.   Žádná data     Čt 20.5.   Žádná data     Pá 21.5.   Žádná data     So 22.5.   Žádná data
42,Ne 16.5.   Zavřeno     Po 17.5.   Žádná data     Út 18.5.   Žádná data     St 19.5.   Žádná data     Čt 20.5.   Žádná data     Pá 21.5.   Žádná data     So 22.5.   Zavřeno
43,Ne 16.5.   Zavřeno     Po 17.5.   Žádná data     Út 18.5.   Žádná data     St 19.5.   Žádná data     Čt 20.5.   Žádná data     Pá 21.5.   Žádná data     So 22.5.   Žádná data
44,Ne 16.5.   Žádná data     Po 17.5.   Žádná data     Út 18.5.   Žádná data     St 19.5.   Žádná data     Čt 20.5.   Žádná data     Pá 21.5.   Žádná data     So 22.5.   Žádná data
45,Ne 16.5.   Žádná data     Po 17.5.   Žádná data     Út 18.5.   Žádná data     St 19.5.   Žádná data     Čt 20.5.   Žádná data     Pá 21.5.   Žádná data     So 22.5.   Žádná data
46,Ne 16.5.   Zavřeno     Po 17.5.   Maximální kapacita     Út 18.5.   Maximální kapacita     St 19.5.   Maximální kapacita     Čt 20.5.   Maximální kapacita     Pá 21.5.   Maximální kapacita     So 22.5.   Zavřeno
47,Ne 16.5.   Volná kapacita 46 z 48     Po 17.5.   Volná kapacita 91 z 95     Út 18.5.   Volná kapacita 91 z 95     St 19.5.   Volná kapacita 90 z 95     Čt 20.5.   Volná kapacita 93 z 95     Pá 21.5.   Volná kapacita 93 z 95     So 22.5.   Volná kapacita 46 z 48
48,Ne 16.5.   Zavřeno     Po 17.5.   Žádná data     Út 18.5.   Zavřeno     St 19.5.   Žádná data     Čt 20.5.   Zavřeno     Pá 21.5.   Žádná data     So 22.5.   Zavřeno
49,Ne 16.5.   Zavřeno     Po 17.5.   Žádná data     Út 18.5.   Žádná data     St 19.5.   Žádná data     Čt 20.5.   Žádná data     Pá 21.5.   Žádná data     So 22.5.   Zavřeno
50,Ne 16.5.   Zavřeno     Po 17.5.   Žádná data     Út 18.5.   Žádná data     St 19.5.   Žádná data     Čt 20.5.   Žádná data     Pá 21.5.   Zavřeno     So 22.5.   Zavřeno
51,Ne 16.5.   Zavřeno     Po 17.5.   Žádná data     Út 18.5.   Žádná data     St 19.5.   Zavřeno     Čt 20.5.   Žádná data     Pá 21.5.   Zavřeno     So 22.5.   Zavřeno
52,Ne 16.5.   Žádná data     Po 17.5.   Žádná data     Út 18.5.   Žádná data     St 19.5.   Žádná data     Čt 20.5.   Žádná data     Pá 21.5.   Žádná data     So 22.5.   Žádná data
53,Ne 16.5.   Maximální kapacita     Po 17.5.   Maximální kapacita     Út 18.5.   Maximální kapacita     St 19.5.   Maximální kapacita     Čt 20.5.   Maximální kapacita     Pá 21.5.   Maximální kapacita     So 22.5.   Maximální kapacita
54,Ne 16.5.   Maximální kapacita     Po 17.5.   Volná kapacita 301 z 555     Út 18.5.   Volná kapacita 474 z 555     St 19.5.   Volná kapacita 493 z 555     Čt 20.5.   Volná kapacita 497 z 555     Pá 21.5.   Volná kapacita 521 z 555     So 22.5.   Volná kapacita 539 z 555
55,Ne 16.5.   Maximální kapacita     Po 17.5.   Volná kapacita 402 z 555     Út 18.5.   Volná kapacita 505 z 555     St 19.5.   Volná kapacita 530 z 555     Čt 20.5.   Volná kapacita 532 z 555     Pá 21.5.   Volná kapacita 527 z 555     So 22.5.   Volná kapacita 549 z 555
56,Ne 16.5.   Maximální kapacita     Po 17.5.   Volná kapacita 311 z 555     Út 18.5.   Volná kapacita 456 z 555     St 19.5.   Volná kapacita 496 z 555     Čt 20.5.   Volná kapacita 511 z 555     Pá 21.5.   Volná kapacita 517 z 555     So 22.5.   Volná kapacita 552 z 555
57,Ne 16.5.   Maximální kapacita     Po 17.5.   Volná kapacita 393 z 555     Út 18.5.   Volná kapacita 525 z 555     St 19.5.   Volná kapacita 540 z 555     Čt 20.5.   Volná kapacita 539 z 555     Pá 21.5.   Volná kapacita 551 z 555     So 22.5.   Volná kapacita 555 z 555
58,Ne 16.5.   Maximální kapacita     Po 17.5.   Volná kapacita 486 z 555     Út 18.5.   Volná kapacita 548 z 555     St 19.5.   Volná kapacita 547 z 555     Čt 20.5.   Volná kapacita 544 z 555     Pá 21.5.   Volná kapacita 551 z 555     So 22.5.   Volná kapacita 553 z 555
