,Calendar
224,Ne 16.5.   Zavřeno     Po 17.5.   Žádná data     Út 18.5.   Žádná data     St 19.5.   Žádná data     Čt 20.5.   Žádná data     Pá 21.5.   Žádná data     So 22.5.   Zavřeno
225,Ne 16.5.   Žádná data     Po 17.5.   Žádná data     Út 18.5.   Žádná data     St 19.5.   Žádná data     Čt 20.5.   Žádná data     Pá 21.5.   Žádná data     So 22.5.   Žádná data
226,Ne 16.5.   Zavřeno     Po 17.5.   Volná kapacita 16 z 24     Út 18.5.   Volná kapacita 16 z 24     St 19.5.   Volná kapacita 22 z 24     Čt 20.5.   Volná kapacita 26 z 26     Pá 21.5.   Volná kapacita 21 z 22     So 22.5.   Zavřeno
227,Ne 16.5.   Zavřeno     Po 17.5.   Volná kapacita 20 z 24     Út 18.5.   Volná kapacita 17 z 24     St 19.5.   Volná kapacita 21 z 24     Čt 20.5.   Volná kapacita 23 z 24     Pá 21.5.   Volná kapacita9 z 24     So 22.5.   Zavřeno
228,Ne 16.5.   Volná kapacita 92 z 108     Po 17.5.   Volná kapacita 98 z 108     Út 18.5.   Volná kapacita 102 z 108     St 19.5.   Volná kapacita 97 z 108     Čt 20.5.   Volná kapacita 100 z 108     Pá 21.5.   Volná kapacita 92 z 108     So 22.5.   Volná kapacita 107 z 108
229,Ne 16.5.   Zavřeno     Po 17.5.   Volná kapacita 33 z 47     Út 18.5.   Volná kapacita 44 z 46     St 19.5.   Volná kapacita 44 z 45     Čt 20.5.   Volná kapacita 44 z 45     Pá 21.5.   Volná kapacita 45 z 45     So 22.5.   Zavřeno
230,Ne 16.5.   Zavřeno     Po 17.5.   Volná kapacita 13 z 21     Út 18.5.   Volná kapacita 19 z 21     St 19.5.   Volná kapacita 20 z 20     Čt 20.5.   Volná kapacita 17 z 20     Pá 21.5.   Volná kapacita 20 z 20     So 22.5.   Zavřeno
231,Ne 16.5.   Zavřeno     Po 17.5.   Maximální kapacita     Út 18.5.   Maximální kapacita     St 19.5.   Maximální kapacita     Čt 20.5.   Maximální kapacita     Pá 21.5.   Maximální kapacita     So 22.5.   Zavřeno
232,Ne 16.5.   Zavřeno     Po 17.5.   Volná kapacita 16 z 21     Út 18.5.   Volná kapacita 18 z 20     St 19.5.   Volná kapacita 20 z 20     Čt 20.5.   Volná kapacita 18 z 20     Pá 21.5.   Volná kapacita 18 z 20     So 22.5.   Zavřeno
233,Ne 16.5.   Zavřeno     Po 17.5.   Volná kapacita 16 z 23     Út 18.5.   Volná kapacita 20 z 24     St 19.5.   Volná kapacita 18 z 20     Čt 20.5.   Volná kapacita 19 z 20     Pá 21.5.   Volná kapacita 19 z 20     So 22.5.   Zavřeno
234,Ne 16.5.   Zavřeno     Po 17.5.   Volná kapacita 24 z 32     Út 18.5.   Volná kapacita 28 z 30     St 19.5.   Volná kapacita 28 z 31     Čt 20.5.   Volná kapacita 28 z 30     Pá 21.5.   Volná kapacita 40 z 40     So 22.5.   Zavřeno
235,Ne 16.5.   Žádná data     Po 17.5.   Žádná data     Út 18.5.   Žádná data     St 19.5.   Žádná data     Čt 20.5.   Žádná data     Pá 21.5.   Žádná data     So 22.5.   Žádná data
236,Ne 16.5.   Zavřeno     Po 17.5.   Žádná data     Út 18.5.   Žádná data     St 19.5.   Žádná data     Čt 20.5.   Žádná data     Pá 21.5.   Žádná data     So 22.5.   Zavřeno
237,Ne 16.5.   Žádná data     Po 17.5.   Žádná data     Út 18.5.   Žádná data     St 19.5.   Žádná data     Čt 20.5.   Žádná data     Pá 21.5.   Žádná data     So 22.5.   Žádná data
238,Ne 16.5.   Žádná data     Po 17.5.   Žádná data     Út 18.5.   Žádná data     St 19.5.   Žádná data     Čt 20.5.   Žádná data     Pá 21.5.   Žádná data     So 22.5.   Žádná data
239,Ne 16.5.   Žádná data     Po 17.5.   Žádná data     Út 18.5.   Žádná data     St 19.5.   Žádná data     Čt 20.5.   Žádná data     Pá 21.5.   Žádná data     So 22.5.   Žádná data
240,Ne 16.5.   Žádná data     Po 17.5.   Žádná data     Út 18.5.   Žádná data     St 19.5.   Žádná data     Čt 20.5.   Žádná data     Pá 21.5.   Žádná data     So 22.5.   Žádná data
241,Ne 16.5.   Žádná data     Po 17.5.   Žádná data     Út 18.5.   Žádná data     St 19.5.   Žádná data     Čt 20.5.   Žádná data     Pá 21.5.   Žádná data     So 22.5.   Žádná data
242,Ne 16.5.   Žádná data     Po 17.5.   Žádná data     Út 18.5.   Žádná data     St 19.5.   Žádná data     Čt 20.5.   Žádná data     Pá 21.5.   Žádná data     So 22.5.   Žádná data
243,Ne 16.5.   Zavřeno     Po 17.5.   Volná kapacita 5 z 9     Út 18.5.   Volná kapacita 30 z 30     St 19.5.   Volná kapacita 29 z 31     Čt 20.5.   Volná kapacita 27 z 30     Pá 21.5.   Volná kapacita 29 z 32     So 22.5.   Zavřeno
244,Ne 16.5.   Zavřeno     Po 17.5.   Volná kapacita5 z 15     Út 18.5.   Volná kapacita 59 z 60     St 19.5.   Volná kapacita 60 z 60     Čt 20.5.   Volná kapacita 60 z 60     Pá 21.5.   Volná kapacita 59 z 60     So 22.5.   Zavřeno
245,Ne 16.5.   Žádná data     Po 17.5.   Žádná data     Út 18.5.   Žádná data     St 19.5.   Žádná data     Čt 20.5.   Žádná data     Pá 21.5.   Žádná data     So 22.5.   Žádná data
246,Ne 16.5.   Žádná data     Po 17.5.   Žádná data     Út 18.5.   Žádná data     St 19.5.   Žádná data     Čt 20.5.   Žádná data     Pá 21.5.   Žádná data     So 22.5.   Žádná data
247,Ne 16.5.   Zavřeno     Po 17.5.   Volná kapacita37 z 96     Út 18.5.   Volná kapacita 86 z 96     St 19.5.   Volná kapacita 82 z 96     Čt 20.5.   Volná kapacita 91 z 96     Pá 21.5.   Volná kapacita 93 z 96     So 22.5.   Maximální kapacita
248,Ne 16.5.   Zavřeno     Po 17.5.   Žádná data     Út 18.5.   Žádná data     St 19.5.   Žádná data     Čt 20.5.   Žádná data     Pá 21.5.   Žádná data     So 22.5.   Zavřeno
249,Ne 16.5.   Maximální kapacita     Po 17.5.   Volná kapacita 285 z 555     Út 18.5.   Volná kapacita 425 z 555     St 19.5.   Volná kapacita 471 z 555     Čt 20.5.   Volná kapacita 495 z 555     Pá 21.5.   Volná kapacita 507 z 555     So 22.5.   Volná kapacita 523 z 555
250,Ne 16.5.   Maximální kapacita     Po 17.5.   Volná kapacita 464 z 555     Út 18.5.   Volná kapacita 509 z 555     St 19.5.   Volná kapacita 537 z 555     Čt 20.5.   Volná kapacita 542 z 555     Pá 21.5.   Volná kapacita 540 z 555     So 22.5.   Volná kapacita 554 z 555
251,Ne 16.5.   Zavřeno     Po 17.5.   Žádná data     Út 18.5.   Zavřeno     St 19.5.   Žádná data     Čt 20.5.   Zavřeno     Pá 21.5.   Žádná data     So 22.5.   Zavřeno
252,Ne 16.5.   Zavřeno     Po 17.5.   Žádná data     Út 18.5.   Žádná data     St 19.5.   Žádná data     Čt 20.5.   Žádná data     Pá 21.5.   Žádná data     So 22.5.   Zavřeno
253,Ne 16.5.   Zavřeno     Po 17.5.   Žádná data     Út 18.5.   Žádná data     St 19.5.   Žádná data     Čt 20.5.   Žádná data     Pá 21.5.   Žádná data     So 22.5.   Zavřeno
254,Ne 16.5.   Zavřeno     Po 17.5.   Žádná data     Út 18.5.   Žádná data     St 19.5.   Žádná data     Čt 20.5.   Žádná data     Pá 21.5.   Žádná data     So 22.5.   Zavřeno
255,Ne 16.5.   Maximální kapacita     Po 17.5.   Maximální kapacita     Út 18.5.   Maximální kapacita     St 19.5.   Maximální kapacita     Čt 20.5.   Maximální kapacita     Pá 21.5.   Maximální kapacita     So 22.5.   Maximální kapacita
256,Ne 16.5.   Zavřeno     Po 17.5.   Žádná data     Út 18.5.   Žádná data     St 19.5.   Žádná data     Čt 20.5.   Žádná data     Pá 21.5.   Žádná data     So 22.5.   Zavřeno
257,Ne 16.5.   Žádná data     Po 17.5.   Žádná data     Út 18.5.   Žádná data     St 19.5.   Žádná data     Čt 20.5.   Žádná data     Pá 21.5.   Žádná data     So 22.5.   Žádná data
258,Ne 16.5.   Zavřeno     Po 17.5.   Volná kapacita 56 z 80     Út 18.5.   Volná kapacita 78 z 80     St 19.5.   Volná kapacita 78 z 80     Čt 20.5.   Volná kapacita 80 z 80     Pá 21.5.   Volná kapacita 80 z 80     So 22.5.   Zavřeno
259,Ne 16.5.   Zavřeno     Po 17.5.   Volná kapacita 279 z 300     Út 18.5.   Volná kapacita 293 z 300     St 19.5.   Volná kapacita 299 z 300     Čt 20.5.   Volná kapacita 299 z 300     Pá 21.5.   Volná kapacita 299 z 300     So 22.5.   Zavřeno
260,Ne 16.5.   Žádná data     Po 17.5.   Žádná data     Út 18.5.   Žádná data     St 19.5.   Žádná data     Čt 20.5.   Žádná data     Pá 21.5.   Žádná data     So 22.5.   Žádná data
261,Ne 16.5.   Žádná data     Po 17.5.   Žádná data     Út 18.5.   Žádná data     St 19.5.   Žádná data     Čt 20.5.   Žádná data     Pá 21.5.   Žádná data     So 22.5.   Žádná data
262,Ne 16.5.   Maximální kapacita     Po 17.5.   Maximální kapacita     Út 18.5.   Volná kapacita 28 z 36     St 19.5.   Volná kapacita 29 z 36     Čt 20.5.   Volná kapacita 30 z 36     Pá 21.5.   Volná kapacita 30 z 36     So 22.5.   Maximální kapacita
263,Ne 16.5.   Maximální kapacita     Po 17.5.   Volná kapacita11 z 24     Út 18.5.   Volná kapacita 17 z 24     St 19.5.   Volná kapacita 18 z 24     Čt 20.5.   Volná kapacita 23 z 24     Pá 21.5.   Volná kapacita 12 z 24     So 22.5.   Volná kapacita 9 z 12
264,Ne 16.5.   Žádná data     Po 17.5.   Žádná data     Út 18.5.   Žádná data     St 19.5.   Žádná data     Čt 20.5.   Žádná data     Pá 21.5.   Žádná data     So 22.5.   Žádná data
265,Ne 16.5.   Žádná data     Po 17.5.   Žádná data     Út 18.5.   Žádná data     St 19.5.   Žádná data     Čt 20.5.   Žádná data     Pá 21.5.   Žádná data     So 22.5.   Žádná data
266,Ne 16.5.   Maximální kapacita     Po 17.5.   Volná kapacita 53 z 61     Út 18.5.   Volná kapacita 60 z 60     St 19.5.   Volná kapacita 59 z 60     Čt 20.5.   Volná kapacita 57 z 60     Pá 21.5.   Volná kapacita 23 z 24     So 22.5.   Maximální kapacita
267,Ne 16.5.   Volná kapacita14 z 32     Po 17.5.   Volná kapacita 45 z 48     Út 18.5.   Volná kapacita 46 z 48     St 19.5.   Volná kapacita 46 z 48     Čt 20.5.   Volná kapacita 47 z 48     Pá 21.5.   Volná kapacita 46 z 48     So 22.5.   Volná kapacita 48 z 48
268,Ne 16.5.   Zavřeno     Po 17.5.   Volná kapacita 173 z 190     Út 18.5.   Volná kapacita 185 z 190     St 19.5.   Volná kapacita 183 z 190     Čt 20.5.   Volná kapacita 181 z 190     Pá 21.5.   Volná kapacita 187 z 190     So 22.5.   Volná kapacita 73 z 80
269,Ne 16.5.   Žádná data     Po 17.5.   Zavřeno     Út 18.5.   Zavřeno     St 19.5.   Zavřeno     Čt 20.5.   Žádná data     Pá 21.5.   Žádná data     So 22.5.   Žádná data
270,Ne 16.5.   Volná kapacita 276 z 279     Po 17.5.   Volná kapacita 607 z 612     Út 18.5.   Volná kapacita 609 z 612     St 19.5.   Volná kapacita 611 z 612     Čt 20.5.   Volná kapacita 609 z 612     Pá 21.5.   Volná kapacita 611 z 612     So 22.5.   Volná kapacita 612 z 612
271,Ne 16.5.   Žádná data     Po 17.5.   Žádná data     Út 18.5.   Žádná data     St 19.5.   Žádná data     Čt 20.5.   Žádná data     Pá 21.5.   Žádná data     So 22.5.   Zavřeno
272,Ne 16.5.   Volná kapacita 88 z 108     Po 17.5.   Volná kapacita 100 z 108     Út 18.5.   Volná kapacita 106 z 108     St 19.5.   Volná kapacita 103 z 108     Čt 20.5.   Volná kapacita 107 z 108     Pá 21.5.   Volná kapacita 108 z 108     So 22.5.   Volná kapacita 104 z 108
273,Ne 16.5.   Žádná data     Po 17.5.   Volná kapacita15 z 60     Út 18.5.   Zavřeno     St 19.5.   Volná kapacita29 z 60     Čt 20.5.   Žádná data     Pá 21.5.   Volná kapacita 34 z 60     So 22.5.   Zavřeno
274,Ne 16.5.   Zavřeno     Po 17.5.   Volná kapacita20 z 80     Út 18.5.   Zavřeno     St 19.5.   Žádná data     Čt 20.5.   Volná kapacita19 z 80     Pá 21.5.   Zavřeno     So 22.5.   Zavřeno
275,Ne 16.5.   Žádná data     Po 17.5.   Žádná data     Út 18.5.   Žádná data     St 19.5.   Žádná data     Čt 20.5.   Žádná data     Pá 21.5.   Žádná data     So 22.5.   Žádná data
276,Ne 16.5.   Žádná data     Po 17.5.   Žádná data     Út 18.5.   Žádná data     St 19.5.   Žádná data     Čt 20.5.   Žádná data     Pá 21.5.   Žádná data     So 22.5.   Žádná data
277,Ne 16.5.   Žádná data     Po 17.5.   Žádná data     Út 18.5.   Žádná data     St 19.5.   Žádná data     Čt 20.5.   Žádná data     Pá 21.5.   Žádná data     So 22.5.   Žádná data
278,Ne 16.5.   Zavřeno     Po 17.5.   Maximální kapacita     Út 18.5.   Volná kapacita 30 z 32     St 19.5.   Volná kapacita 30 z 30     Čt 20.5.   Volná kapacita 30 z 31     Pá 21.5.   Volná kapacita 29 z 31     So 22.5.   Zavřeno
279,Ne 16.5.   Maximální kapacita     Po 17.5.   Volná kapacita5 z 13     Út 18.5.   Volná kapacita 51 z 60     St 19.5.   Volná kapacita 55 z 60     Čt 20.5.   Volná kapacita 57 z 60     Pá 21.5.   Volná kapacita 57 z 61     So 22.5.   Maximální kapacita
280,Ne 16.5.   Zavřeno     Po 17.5.   Volná kapacita6 z 20     Út 18.5.   Volná kapacita 55 z 60     St 19.5.   Volná kapacita 29 z 30     Čt 20.5.   Volná kapacita 60 z 60     Pá 21.5.   Volná kapacita 59 z 64     So 22.5.   Zavřeno
281,Ne 16.5.   Zavřeno     Po 17.5.   Volná kapacita5 z 14     Út 18.5.   Volná kapacita 30 z 31     St 19.5.   Volná kapacita 3 z 5     Čt 20.5.   Volná kapacita 5 z 5     Pá 21.5.   Volná kapacita 4 z 5     So 22.5.   Zavřeno
282,Ne 16.5.   Zavřeno     Po 17.5.   Žádná data     Út 18.5.   Žádná data     St 19.5.   Žádná data     Čt 20.5.   Žádná data     Pá 21.5.   Žádná data     So 22.5.   Zavřeno
283,Ne 16.5.   Žádná data     Po 17.5.   Žádná data     Út 18.5.   Žádná data     St 19.5.   Žádná data     Čt 20.5.   Žádná data     Pá 21.5.   Žádná data     So 22.5.   Žádná data
284,Ne 16.5.   Žádná data     Po 17.5.   Žádná data     Út 18.5.   Žádná data     St 19.5.   Žádná data     Čt 20.5.   Žádná data     Pá 21.5.   Žádná data     So 22.5.   Žádná data
285,Ne 16.5.   Žádná data     Po 17.5.   Žádná data     Út 18.5.   Žádná data     St 19.5.   Žádná data     Čt 20.5.   Žádná data     Pá 21.5.   Žádná data     So 22.5.   Žádná data
286,Ne 16.5.   Žádná data     Po 17.5.   Žádná data     Út 18.5.   Žádná data     St 19.5.   Žádná data     Čt 20.5.   Žádná data     Pá 21.5.   Žádná data     So 22.5.   Žádná data
287,Ne 16.5.   Zavřeno     Po 17.5.   Žádná data     Út 18.5.   Žádná data     St 19.5.   Žádná data     Čt 20.5.   Žádná data     Pá 21.5.   Žádná data     So 22.5.   Zavřeno
288,Ne 16.5.   Zavřeno     Po 17.5.   Volná kapacita 135 z 153     Út 18.5.   Volná kapacita 149 z 153     St 19.5.   Volná kapacita 151 z 153     Čt 20.5.   Volná kapacita 153 z 153     Pá 21.5.   Volná kapacita 152 z 153     So 22.5.   Zavřeno
289,Ne 16.5.   Žádná data     Po 17.5.   Zavřeno     Út 18.5.   Žádná data     St 19.5.   Zavřeno     Čt 20.5.   Žádná data     Pá 21.5.   Zavřeno     So 22.5.   Zavřeno
290,Ne 16.5.   Zavřeno     Po 17.5.   Žádná data     Út 18.5.   Žádná data     St 19.5.   Žádná data     Čt 20.5.   Žádná data     Pá 21.5.   Žádná data     So 22.5.   Zavřeno
291,Ne 16.5.   Žádná data     Po 17.5.   Žádná data     Út 18.5.   Žádná data     St 19.5.   Žádná data     Čt 20.5.   Žádná data     Pá 21.5.   Žádná data     So 22.5.   Žádná data
292,Ne 16.5.   Zavřeno     Po 17.5.   Žádná data     Út 18.5.   Žádná data     St 19.5.   Žádná data     Čt 20.5.   Žádná data     Pá 21.5.   Žádná data     So 22.5.   Zavřeno
293,Ne 16.5.   Žádná data     Po 17.5.   Žádná data     Út 18.5.   Žádná data     St 19.5.   Žádná data     Čt 20.5.   Žádná data     Pá 21.5.   Žádná data     So 22.5.   Zavřeno
294,Ne 16.5.   Zavřeno     Po 17.5.   Žádná data     Út 18.5.   Žádná data     St 19.5.   Žádná data     Čt 20.5.   Žádná data     Pá 21.5.   Žádná data     So 22.5.   Žádná data
295,Ne 16.5.   Zavřeno     Po 17.5.   Žádná data     Út 18.5.   Žádná data     St 19.5.   Žádná data     Čt 20.5.   Žádná data     Pá 21.5.   Žádná data     So 22.5.   Žádná data
296,Ne 16.5.   Zavřeno     Po 17.5.   Žádná data     Út 18.5.   Žádná data     St 19.5.   Žádná data     Čt 20.5.   Žádná data     Pá 21.5.   Žádná data     So 22.5.   Žádná data
297,Ne 16.5.   Zavřeno     Po 17.5.   Volná kapacita 84 z 90     Út 18.5.   Volná kapacita 90 z 90     St 19.5.   Volná kapacita 89 z 90     Čt 20.5.   Volná kapacita 90 z 90     Pá 21.5.   Volná kapacita 89 z 90     So 22.5.   Zavřeno
298,Ne 16.5.   Zavřeno     Po 17.5.   Volná kapacita 145 z 170     Út 18.5.   Volná kapacita 169 z 170     St 19.5.   Volná kapacita 162 z 170     Čt 20.5.   Volná kapacita 167 z 170     Pá 21.5.   Volná kapacita 161 z 170     So 22.5.   Zavřeno
299,Ne 16.5.   Zavřeno     Po 17.5.   Volná kapacita 82 z 90     Út 18.5.   Volná kapacita 86 z 90     St 19.5.   Volná kapacita 89 z 90     Čt 20.5.   Volná kapacita 88 z 90     Pá 21.5.   Volná kapacita 84 z 90     So 22.5.   Zavřeno
300,Ne 16.5.   Volná kapacita 31 z 36     Po 17.5.   Volná kapacita 47 z 48     Út 18.5.   Volná kapacita 47 z 48     St 19.5.   Volná kapacita 46 z 48     Čt 20.5.   Volná kapacita 46 z 48     Pá 21.5.   Volná kapacita 48 z 48     So 22.5.   Volná kapacita 34 z 36
301,Ne 16.5.   Zavřeno     Po 17.5.   Žádná data     Út 18.5.   Žádná data     St 19.5.   Žádná data     Čt 20.5.   Žádná data     Pá 21.5.   Žádná data     So 22.5.   Zavřeno
302,Ne 16.5.   Žádná data     Po 17.5.   Žádná data     Út 18.5.   Žádná data     St 19.5.   Žádná data     Čt 20.5.   Žádná data     Pá 21.5.   Žádná data     So 22.5.   Žádná data
303,Ne 16.5.   Žádná data     Po 17.5.   Žádná data     Út 18.5.   Žádná data     St 19.5.   Žádná data     Čt 20.5.   Žádná data     Pá 21.5.   Žádná data     So 22.5.   Zavřeno
304,Ne 16.5.   Žádná data     Po 17.5.   Žádná data     Út 18.5.   Žádná data     St 19.5.   Žádná data     Čt 20.5.   Žádná data     Pá 21.5.   Žádná data     So 22.5.   Zavřeno
305,Ne 16.5.   Žádná data     Po 17.5.   Žádná data     Út 18.5.   Žádná data     St 19.5.   Žádná data     Čt 20.5.   Žádná data     Pá 21.5.   Žádná data     So 22.5.   Zavřeno
306,Ne 16.5.   Žádná data     Po 17.5.   Žádná data     Út 18.5.   Žádná data     St 19.5.   Žádná data     Čt 20.5.   Žádná data     Pá 21.5.   Žádná data     So 22.5.   Žádná data
307,Ne 16.5.   Žádná data     Po 17.5.   Žádná data     Út 18.5.   Žádná data     St 19.5.   Žádná data     Čt 20.5.   Žádná data     Pá 21.5.   Žádná data     So 22.5.   Žádná data
308,Ne 16.5.   Zavřeno     Po 17.5.   Volná kapacita33 z 280     Út 18.5.   Volná kapacita38 z 280     St 19.5.   Volná kapacita14 z 280     Čt 20.5.   Volná kapacita16 z 280     Pá 21.5.   Volná kapacita19 z 280     So 22.5.   Zavřeno
309,Ne 16.5.   Zavřeno     Po 17.5.   Volná kapacita 15 z 24     Út 18.5.   Volná kapacita 23 z 24     St 19.5.   Volná kapacita 20 z 24     Čt 20.5.   Volná kapacita 24 z 24     Pá 21.5.   Volná kapacita 21 z 24     So 22.5.   Zavřeno
310,Ne 16.5.   Volná kapacita10 z 40     Po 17.5.   Maximální kapacita     Út 18.5.   Volná kapacita 33 z 45     St 19.5.   Volná kapacita 24 z 40     Čt 20.5.   Volná kapacita 22 z 30     Pá 21.5.   Volná kapacita 25 z 30     So 22.5.   Volná kapacita 16 z 20
311,Ne 16.5.   Zavřeno     Po 17.5.   Maximální kapacita     Út 18.5.   Maximální kapacita     St 19.5.   Maximální kapacita     Čt 20.5.   Volná kapacita11 z 24     Pá 21.5.   Volná kapacita10 z 24     So 22.5.   Volná kapacita3 z 24
312,Ne 16.5.   Zavřeno     Po 17.5.   Maximální kapacita     Út 18.5.   Volná kapacita 9 z 12     St 19.5.   Volná kapacita1 z 12     Čt 20.5.   Volná kapacita 6 z 12     Pá 21.5.   Volná kapacita 8 z 9     So 22.5.   Zavřeno
313,Ne 16.5.   Maximální kapacita     Po 17.5.   Volná kapacita 8 z 15     Út 18.5.   Volná kapacita6 z 15     St 19.5.   Volná kapacita 13 z 15     Čt 20.5.   Volná kapacita 9 z 15     Pá 21.5.   Volná kapacita 15 z 15     So 22.5.   Zavřeno
314,Ne 16.5.   Zavřeno     Po 17.5.   Maximální kapacita     Út 18.5.   Volná kapacita3 z 21     St 19.5.   Maximální kapacita     Čt 20.5.   Volná kapacita 13 z 21     Pá 21.5.   Volná kapacita2 z 21     So 22.5.   Zavřeno
315,Ne 16.5.   Zavřeno     Po 17.5.   Volná kapacita 153 z 160     Út 18.5.   Volná kapacita 153 z 160     St 19.5.   Volná kapacita 160 z 160     Čt 20.5.   Volná kapacita 160 z 160     Pá 21.5.   Volná kapacita 158 z 160     So 22.5.   Volná kapacita 80 z 80
316,Ne 16.5.   Zavřeno     Po 17.5.   Žádná data     Út 18.5.   Žádná data     St 19.5.   Žádná data     Čt 20.5.   Žádná data     Pá 21.5.   Žádná data     So 22.5.   Zavřeno
317,Ne 16.5.   Žádná data     Po 17.5.   Žádná data     Út 18.5.   Žádná data     St 19.5.   Žádná data     Čt 20.5.   Žádná data     Pá 21.5.   Žádná data     So 22.5.   Žádná data
318,Ne 16.5.   Žádná data     Po 17.5.   Žádná data     Út 18.5.   Žádná data     St 19.5.   Žádná data     Čt 20.5.   Žádná data     Pá 21.5.   Žádná data     So 22.5.   Žádná data
319,Ne 16.5.   Zavřeno     Po 17.5.   Žádná data     Út 18.5.   Žádná data     St 19.5.   Žádná data     Čt 20.5.   Žádná data     Pá 21.5.   Žádná data     So 22.5.   Zavřeno
320,Ne 16.5.   Žádná data     Po 17.5.   Žádná data     Út 18.5.   Žádná data     St 19.5.   Žádná data     Čt 20.5.   Žádná data     Pá 21.5.   Žádná data     So 22.5.   Žádná data
321,Ne 16.5.   Zavřeno     Po 17.5.   Maximální kapacita     Út 18.5.   Volná kapacita 40 z 50     St 19.5.   Volná kapacita 25 z 25     Čt 20.5.   Zavřeno     Pá 21.5.   Volná kapacita 56 z 60     So 22.5.   Zavřeno
322,Ne 16.5.   Zavřeno     Po 17.5.   Žádná data     Út 18.5.   Žádná data     St 19.5.   Žádná data     Čt 20.5.   Žádná data     Pá 21.5.   Žádná data     So 22.5.   Zavřeno
323,Ne 16.5.   Žádná data     Po 17.5.   Žádná data     Út 18.5.   Žádná data     St 19.5.   Žádná data     Čt 20.5.   Žádná data     Pá 21.5.   Žádná data     So 22.5.   Žádná data
324,Ne 16.5.   Zavřeno     Po 17.5.   Maximální kapacita     Út 18.5.   Volná kapacita 36 z 40     St 19.5.   Volná kapacita 36 z 40     Čt 20.5.   Volná kapacita 34 z 40     Pá 21.5.   Volná kapacita 34 z 40     So 22.5.   Zavřeno
325,Ne 16.5.   Zavřeno     Po 17.5.   Volná kapacita41 z 88     Út 18.5.   Volná kapacita 41 z 52     St 19.5.   Volná kapacita 76 z 88     Čt 20.5.   Volná kapacita 52 z 52     Pá 21.5.   Volná kapacita 88 z 88     So 22.5.   Zavřeno
